dataset,survey_item,sub_survey_item,Persona 1 - Ahmed,Persona 2 - Jassim,Persona 3 - Amine,Persona 4 - Mahmoud,Persona 5 - Mustafa,Persona 6 - Ahmad,Persona 7 - Mohammed,Persona 8 - Ali,Persona 9 - Mohamed,Persona 10 - Ayoub,Persona 11 - Hilal,Persona 12 - Mohammad,Persona 13 - Fahad,Persona 14 - Abdullah,Persona 15 - Aymen,Persona 16 - Marwan,
Personas - Survey2Persona 50,I fear harassment on social media posts due to my gender,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 50,I fear others will use AI/machine learning tools to alter my photos to embarrass me,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I feel I am part of social media communities,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I feel out of touch when I have't logged onto social media for a while,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I follow the news and updates about privacy issues and privacy violations on social media.,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I frequently end up using social media even when I do't intend to,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I have experienced a personal invasion of my privacy by another user on social media,,Disagree,Disagree,(No response),Disagree,(No response),(No response),Disagree,Disagree,(No response),(No response),Disagree,(No response),Disagree,(No response),Disagree,(No response),
Personas - Survey2Persona 50,I have felt a personal invasion of privacy by social media services,,Disagree,Disagree,(No response),Disagree,(No response),(No response),Disagree,Disagree,(No response),(No response),Disagree,(No response),Neither Disagree Nor Agree,(No response),Disagree,(No response),
Personas - Survey2Persona 50,I know how to control who can access my personal information on social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I provide incomplete information to social media service providers,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 50,I refuse to give information to social media providers when I think it is too personal,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I struggle to resist using social media,,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,
Personas - Survey2Persona 50,I take measures to prevent social media providers from tracking my browsing behavior,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I think foreign governments may be monitoring my social media activities,,Neither Disagree Nor Agree,Neither Disagree Nor Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Disagree Nor Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I trust social media service providers to keep my best interests in mind while using my information,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,
Personas - Survey2Persona 50,I trust using social media to connect with my friends and family  ,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I understand that certain personal information of mine can be accessed by other users on social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I use anonymous/fake social media accounts to criticize government actions,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,
Personas - Survey2Persona 50,I use multiple social media accounts to hide my true identity,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 50,I use social media platforms that do not ask for too much information,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I use software or applications to protect online privacy,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,I would be upset if my favorite social media shut down,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Instagram (time spent during a typical day),,Less than 1 hour,1-3 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,1-3 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Do't use,
Personas - Survey2Persona 50,It is very important to me that I am aware and knowledgeable about how social media will use my personal information.,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,It usually bothers me when social media providers ask me for personal information,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,(No response),Agree,(No response),Agree,(No response),
Personas - Survey2Persona 50,Iâ€™m good at managing my time on social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Iâ€™m in control of how I use social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Language of Survey,,English,English,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,Arabic,English,Arabic,English,Arabic,Arabic,Arabic,
Personas - Survey2Persona 50,LinkedIn (time spent during a typical day),,Less than 1 hour,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Less than 1 hour,Do't use,Do't use,Do't use,
Personas - Survey2Persona 50,Most social media act with my best interests in mind,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,
Personas - Survey2Persona 50,Most social media are truthful in their dealings with me,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Most social media services allow me to control which of my personal information others can access.,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Most social media websites let me control how third parties can use my personal information,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Disagree Nor Agree,Agree,Agree,
Personas - Survey2Persona 50,My friends believe I should care about my privacy on social media,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 50,Other (time spent during a typical day),,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,
Personas - Survey2Persona 50,Other users could misuse the content I share on social media,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,Agree,Agree,(No response),Agree,(No response),
Personas - Survey2Persona 50,Others can find private information about me on social media,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,(No response),Agree,(No response),Agree,(No response),
Personas - Survey2Persona 50,People who are important to me think I should be careful when revealing personal information online,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,Agree,Agree,(No response),Agree,(No response),
Personas - Survey2Persona 50,People who influence my behavior think that it is crucial to keep my personal information private on social media,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,Agree,Agree,(No response),Agree,(No response),
Personas - Survey2Persona 50,Snapchat (time spent during a typical day),,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Less than 1 hour,Do't use,Do't use,
Personas - Survey2Persona 50,Social media are helpful tools,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Social media are part of my everyday activity,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Social media have used my personal information without my authorization,,Disagree,Disagree,(No response),Disagree,(No response),(No response),Disagree,Disagree,(No response),(No response),Disagree,(No response),Disagree,(No response),(No response),(No response),
Personas - Survey2Persona 50,Social media often influence my thinking,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,
Personas - Survey2Persona 50,Social media providers clearly explain how they use my information ,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,(No response),(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 50,Social media providers have straightforward and easy-to-understand policies about how they use my information,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,(No response),(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 50,Social media providers must get my permission before they gather and utilize my personal information ,,Agree,Agree,(No response),Strongly Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,(No response),Agree,(No response),Strongly Agree,(No response),
Personas - Survey2Persona 50,Telegram (time spent during a typical day),,Less than 1 hour,Do't use,Less than 1 hour,Less than 1 hour,Less than 1 hour,Do't use,Do't use,Do't use,Less than 1 hour,Do't use,Do't use,Less than 1 hour,Do't use,Less than 1 hour,Do't use,Less than 1 hour,
Personas - Survey2Persona 50,The government is doing enough to protect consumers against social media privacy violations,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,(No response),(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 50,There are strong international laws to protect peopleâ€™s personal information on social media,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,(No response),(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 50,Think of the social media app you use the most and suggest what the app provider should do to improve users' privacy  Please mention the app as well:,,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,(No response),Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,Suggestions for improving privacy on a specific social media app,
Personas - Survey2Persona 50,TikTok (time spent during a typical day),,Less than 1 hour,1-3 hours,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Less than 1 hour,1-3 hours,Do't use,Do't use,
Personas - Survey2Persona 50,Twitter  (time spent during a typical day),,Less than 1 hour,Do't use,Do't use,Less than 1 hour,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Less than 1 hour,Do't use,Do't use,
Personas - Survey2Persona 50,Using social media are a waste of time for me,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 50,Using social media are enjoyable for me,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Using social media help me learn and grow,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,Using social media lets me do what I want,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,
Personas - Survey2Persona 50,Using social media strengthens and supports my relationships with people in real life,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 50,What measures do you take to ensure your privacy on social media:,,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,(Uncertain Theme),Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,Privacy measures on social media,
Personas - Survey2Persona 50,WhatsApp (time spent during a typical day),,1-3 hours,1-3 hours,Less than 1 hour,1-3 hours,Less than 1 hour,Less than 1 hour,Less than 1 hour,1-3 hours,Less than 1 hour,1-3 hours,1-3 hours,Less than 1 hour,1-3 hours,Less than 1 hour,Less than 1 hour,1-3 hours,
Personas - Survey2Persona 50,YouTube (time spent during a typical day),,1-3 hours,1-3 hours,1-3 hours,1-3 hours,1-3 hours,1-3 hours,1-3 hours,Less than 1 hour,Less than 1 hour,1-3 hours,1-3 hours,Less than 1 hour,1-3 hours,1-3 hours,1-3 hours,1-3 hours,
Personas - Survey2Persona 60,Age,,25-34,18-24,25-34,25-34,18-24,25-34,25-34,25-34,18-24,25-34,25-34,18-24,25-34,35-44,25-34,25-34,
Personas - Survey2Persona 60,"As a resident of a non-western country, I believe the major social media platforms do not take my privacy concerns seriously",,Neither Disagree Nor Agree,Neither Disagree Nor Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Disagree Nor Agree,Agree,Agree,Neither Disagree Nor Agree,Agree,Agree,
Personas - Survey2Persona 60,Baaz (time spent during a typical day),,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,Do't use,
Personas - Survey2Persona 60,"Compared to most people in the country you are living in, how would you describe yourself?",,Culturally progressive,(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),Culturally progressive,(No response),Culturally progressive,(No response),(No response),(No response),
Personas - Survey2Persona 60,Country,,United Arab Emirates,Bahrain,Algeria,Egypt,Iraq,Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,"Palestine, State of",Qatar,Saudi Arabia,Tunisia,Yemen,
Personas - Survey2Persona 60,Country of origin,,India,Bahrain,Algeria,Egypt,(No response),Jordan,Kuwait,Lebanon,Libya,Morocco,Oman,Palestine State,Qatar,(No response),Tunisia,(No response),
Personas - Survey2Persona 60,Disclosing my personal information on social media is risky,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,Disclosing my personal information on social media may bring me unpredicted problems,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,Disclosing my personal information on social media may bring potential losses,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,
Personas - Survey2Persona 60,Do you haveÂ childcareÂ responsibilities?,,Yes,No,(No response),Yes,(No response),(No response),Yes,No,(No response),(No response),Yes,(No response),Yes,Yes,(No response),(No response),
Personas - Survey2Persona 60,Do you think parents should be concerned about their childre's use of social media? Why or Why not?,,Yes,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,Ù†Ø¹Ù…,
Personas - Survey2Persona 60,Do you think social media platforms are doing enough to protect children's use of social media? Why or why not?,,(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),
Personas - Survey2Persona 60,"During a typical day, approximately how many hours do you spend on social media:",,2,2,1,3,1,1,1,1,1,1,3,1,2,3,1,1,
Personas - Survey2Persona 60,"During a typical day, approximately how many hours do you spend using the internet:",,6,5,5,5,4,4,5,4,5,5,5,4,4,5,5,5,
Personas - Survey2Persona 60,Existing laws in my country are sufficient to protect my privacy on social media,,Agree,Agree,(No response),(No response),(No response),(No response),Agree,(No response),(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 60,Facebook (time spent during a typical day),,Less than 1 hour,Do't use,1-3 hours,1-3 hours,Less than 1 hour,1-3 hours,Do't use,1-3 hours,1-3 hours,1-3 hours,Do't use,1-3 hours,1-3 hours,Less than 1 hour,1-3 hours,Less than 1 hour,
Personas - Survey2Persona 60,Facebook Messenger (time spent during a typical day),,Less than 1 hour,Do't use,Less than 1 hour,Less than 1 hour,Less than 1 hour,Less than 1 hour,Do't use,Do't use,Less than 1 hour,Less than 1 hour,Do't use,Less than 1 hour,Less than 1 hour,Do't use,Less than 1 hour,Less than 1 hour,
Personas - Survey2Persona 60,Gender,,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,
Personas - Survey2Persona 60,Have you had an experience where you or someone close to you had a privacy violation due to social media use? Tell us what happened,,(No response),(No response),(No response),Ù„Ø§,(No response),(No response),(No response),(No response),(No response),(No response),Ù„Ø§,(No response),No,(No response),(No response),(No response),
Personas - Survey2Persona 60,Highest level of education,,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,University bachelor degree,"Higher education (Masterâ€™s degree, Ph.D. etc.)",University bachelor degree,
Personas - Survey2Persona 60,How do you classify your status in the country you are currently living in?,,Asian expatriate,National of the country I currently live in,National of the country I currently live in,National of the country I currently live in,(No response),National of the country I currently live in,National of the country I currently live in,National of the country I currently live in,(No response),National of the country I currently live in,National of the country I currently live in,National of the country I currently live in,National of the country I currently live in,(No response),National of the country I currently live in,(No response),
Personas - Survey2Persona 60,"How often do you attend religious services (for example, prayer congregations) as per your religion?",,Once a day or more,(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),(No response),Once a day or more,(No response),Once a day or more,(No response),(No response),(No response),
Personas - Survey2Persona 60,I am aware of privacy issues in social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I am concerned about disclosing information on social media because others could use it in a way I did not foresee,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 60,"I am concerned about how my personally identifiable information (information that I have voluntarily given out and can be used to identify me as an individual, e g , name, shipping address, credit card) is used by social media providers",,Agree,Agree,(No response),Agree,(No response),(No response),Agree,(No response),(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 60,"I am concerned about how social media providers automatically collect information about me not voluntarily shared by me, e g, computer and operating system information, without my knowledge",,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 60,I am concerned about the governmentâ€™s ability to monitor my social media activities,,Agree,Neither Disagree Nor Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 60,I am concerned that I may be harassed by government based on my social media activities,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 60,I am concerned that social media providers collect too much information about me,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,(No response),(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 60,I am confident that social media privacy policy reflects social media servicesâ€™ commitment to protecting my personal information,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I am not concerned about what others might do with my personal information on social media,,Disagree,(No response),(No response),(No response),(No response),(No response),Disagree,(No response),(No response),(No response),Disagree,(No response),Disagree,(No response),(No response),(No response),
Personas - Survey2Persona 60,I am proud to tell people I use social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I am worried that my social media activities can be used against me in legal cases,,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,
Personas - Survey2Persona 60,I believe that social media privacy policies are an effective way for social media platforms to demonstrate their commitment to privacy,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I believe the use of AI by social media providers will increase the threat to my privacy,,Agree,Agree,(No response),Agree,(No response),(No response),Agree,Agree,(No response),(No response),Agree,(No response),Agree,(No response),(No response),(No response),
Personas - Survey2Persona 60,I can express my feelings (by disclosing my personal information on social media),,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I can express my ideas and opinions (by disclosing my personal information on social media),,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I can express my interests and preferences (by disclosing my personal information on social media),,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,"I can fulfill some of my social needs (companionship, approval, acceptance, respect, and status) (by disclosing my personal information on social media)",,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I can keep a record of my experiences (by disclosing my personal information on social media),,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I can make my experience more fun (by disclosing my personal information on social media),,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I can trust most social media service providers,,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,
Personas - Survey2Persona 60,I do not criticize others from my real social media account,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I falsify some of my personal information when asked by social media,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 60,I fear harassment on social media posts due to my gender,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 60,I fear others will use AI/machine learning tools to alter my photos to embarrass me,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I feel I am part of social media communities,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I feel out of touch when I have't logged onto social media for a while,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I follow the news and updates about privacy issues and privacy violations on social media.,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I frequently end up using social media even when I do't intend to,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I have experienced a personal invasion of my privacy by another user on social media,,Disagree,Disagree,(No response),Disagree,(No response),(No response),Disagree,Disagree,(No response),(No response),Disagree,(No response),Disagree,(No response),(No response),(No response),
Personas - Survey2Persona 60,I have felt a personal invasion of privacy by social media services,,Disagree,Disagree,(No response),Disagree,(No response),(No response),Disagree,(No response),(No response),(No response),Disagree,(No response),Neither Disagree Nor Agree,(No response),(No response),(No response),
Personas - Survey2Persona 60,I know how to control who can access my personal information on social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I provide incomplete information to social media service providers,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,
Personas - Survey2Persona 60,I refuse to give information to social media providers when I think it is too personal,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I struggle to resist using social media,,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,
Personas - Survey2Persona 60,I take measures to prevent social media providers from tracking my browsing behavior,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I think foreign governments may be monitoring my social media activities,,Neither Disagree Nor Agree,Neither Disagree Nor Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I trust social media service providers to keep my best interests in mind while using my information,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,
Personas - Survey2Persona 60,I trust using social media to connect with my friends and family  ,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
Personas - Survey2Persona 60,I understand that certain personal information of mine can be accessed by other users on social media,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,
